Sample ID,Site,Date,Type,Cl_mg_L,SO4_mg_L,NO3_mg_L,dD,d18O,Al_mg_L,Ca_mg_L,Cu_mg_L,Fe_mg_L,K_mg_L,Mg_mg_L,Mn_mg_L,Na_mg_L,P_mg_L,Zn_mg_L,Si_mg_L
RI22-0860,Bear_Pond,3/17/22,Groundwater,0.3055,0.3711,0.7317,-65.69,-6.65,0.02,5.26,0.01,-0.01,0.2,0.72,0.01,0.62,0.02,0,0.2
RI22-0859,High_Pond_Farm,3/17/22,Groundwater,0.4797,3.2695,0.5096,-79.46,-11.6,0.01,5.9,0.01,0.01,0.36,0.41,0.02,0.74,0.07,-0.01,0.24
RI22-0845,Wade,2/18/22,Rain,0.4049,0.3648,0.8037,-68.31,-9.41,0.03,0.37,0.01,0.07,0.27,0.08,0.03,0.1,0.09,0.03,-0.08
RI22-0847,Wade,2/24/22,Rain,0.5926,0.3338,0.7801,-88.46,-12.59,0.06,0.4,0.01,0.02,0.35,0.09,0.03,0.39,0.07,0.03,-0.08
RI22-0852,Wade,3/8/22,Rain,0.5035,0.5383,1.1045,-48.21,-7.79,0.02,0.59,0.12,0.02,0.41,0.1,0.03,0.13,0.09,0.01,-0.09
RI22-0853,Wade,3/21/22,Rain,0.3997,0.2994,0.7918,-46.2,-7.52,0.01,0.65,0.01,0.01,0.43,0.12,0.02,0.27,0.08,0,-0.08
RI22-0861,Wade,4/11/22,Rain,1.6262,0.3105,0.7184,-86.59,-12.61,0.01,0.34,0.01,0.01,0.27,0.08,0.02,0.26,0.07,-0.01,-0.09
RI22-0841,Wade,2/1/22,Snow,0.7369,0.4361,1.6372,-135.9,-19.42,0.01,0.4,0.01,0.01,0.35,0.08,0.03,0.17,0.08,0,-0.1
RI22-0842,Wade,2/15/22,Snow,0.571,0.3464,0.8711,-58.6,-9.31,0.01,0.36,0.01,0.01,0.34,0.07,0.02,0.07,0.07,-0.01,-0.09
RI22-0850,Wade,3/5/22,Snow,0.4675,0.4189,1.6151,-74.98,-11.04,0.02,0.47,0.01,0.02,0.29,0.1,0.02,0.45,0.07,0.01,-0.08
RI22-0854,Wade,3/17/22,Snow,0.8485,0.2622,0.5058,-116.59,-16.36,0.95,0.22,0.01,0.02,0.2,-0.01,0.11,-0.01,0.03,0.04,-0.01
RI22-0843,Wade,2/15/22,Snow lysimeter,2.0148,0.7879,5.5686,NA,NA,0.04,4.09,0.02,0.11,0.89,2.1,0.03,5.96,0.1,0.12,0.77
RI22-0849,Wade,3/4/22,Snow lysimeter,0.4004,0.3805,1.1188,-117.77,-16.3,0.03,3.71,0.01,0.01,0.81,1.82,0.02,3.34,0.09,-0.01,1.32
RI22-0856,Wade,3/17/22,Snow lysimeter,5.542,0.6146,2.5199,-82.61,-11.87,0.27,3.04,0.01,0,2.66,1.55,0.03,1.44,0.03,0.01,1.42