"","run_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id"
"1","FC = 0.996, SFT = 0.088","2021-12-02 17:45:00","2021-12-05 08:00:00",208041.598703537,70,2972.02283862196,"0.996","0.088","storm_1"
"2","FC = 0.996, SFT = 0.088","2021-12-10 16:00:00","2021-12-11 02:00:00",5775.25706890967,10.25,563.439714039968,"0.996","0.088","storm_2"
"3","FC = 0.996, SFT = 0.088","2021-12-11 15:30:00","2021-12-15 13:15:00",297426.263764553,105,2832.63108347193,"0.996","0.088","storm_3"
"4","FC = 0.996, SFT = 0.088","2021-12-15 16:15:00","2021-12-24 15:45:00",170469.717336584,151.25,1127.07251131625,"0.996","0.088","storm_4"
"5","FC = 0.996, SFT = 0.088","2022-01-16 08:00:00","2022-01-21 11:00:00",83295.2598564784,85.75,971.37329278692,"0.996","0.088","storm_5"
"6","FC = 0.996, SFT = 0.088","2022-01-21 13:15:00","2022-01-22 03:30:00",10026.0269502528,14.5,691.450134500191,"0.996","0.088","storm_6"
"7","FC = 0.996, SFT = 0.088","2022-01-22 14:00:00","2022-01-27 02:15:00",90657.6923770105,130.5,694.694960743376,"0.996","0.088","storm_7"
"8","FC = 0.996, SFT = 0.088","2022-01-27 12:30:00","2022-01-30 11:15:00",45577.6131508508,82.25,554.135114296059,"0.996","0.088","storm_8"
"9","FC = 0.996, SFT = 0.088","2022-01-30 13:15:00","2022-01-31 02:15:00",4785.14722757438,13.25,361.143186986746,"0.996","0.088","storm_9"
"10","FC = 0.996, SFT = 0.088","2022-02-03 05:30:00","2022-02-09 09:30:00",203034.300848963,174.5,1163.52034870466,"0.996","0.088","storm_10"
"11","FC = 0.996, SFT = 0.088","2022-02-11 06:15:00","2022-02-17 05:45:00",916468.104101742,155,5912.69744581769,"0.996","0.088","storm_11"
"12","FC = 0.996, SFT = 0.088","2022-02-17 14:15:00","2022-03-04 23:30:00",1540307.9860993,141.5,10885.5688063555,"0.996","0.088","storm_12"
"13","FC = 0.996, SFT = 0.088","2022-03-06 15:15:00","2022-03-14 12:45:00",540743.591856586,145,3729.26615073507,"0.996","0.088","storm_13"
"14","FC = 0.996, SFT = 0.088","2022-03-15 12:00:00","2022-03-15 12:30:00",3606.06969657428,11,327.82451787039,"0.996","0.088","storm_14"
"15","FC = 0.996, SFT = 0.088","2022-03-19 15:30:00","2022-03-19 16:30:00",7626.9037715001,18,423.71687619445,"0.996","0.088","storm_15"
"16","FC = 0.996, SFT = 0.088","2022-04-19 08:30:00","2022-04-26 05:45:00",992190.793194525,191.75,5174.39787845906,"0.996","0.088","storm_16"
"17","FC = 0.996, SFT = 0.088","2022-05-12 22:30:00","2022-05-13 05:00:00",3563.02636916378,10.5,339.335844682265,"0.996","0.088","storm_17"
"18","FC = 0.996, SFT = 0.088","2022-08-16 20:15:00","2022-08-19 16:30:00",55794.1639049803,75.25,741.450683122662,"0.996","0.088","storm_18"
"19","FC = 0.996, SFT = 0.088","2022-08-23 17:30:00","2022-08-25 10:15:00",30149.2177874955,44.75,673.725537150737,"0.996","0.088","storm_19"
"20","FC = 0.996, SFT = 0.088","2022-08-31 01:00:00","2022-09-08 13:30:00",113418.75806836,61.75,1836.74102134996,"0.996","0.088","storm_20"
"21","FC = 0.996, SFT = 0.088","2022-09-14 00:30:00","2022-09-17 03:30:00",86272.6349310749,86.5,997.371502093352,"0.996","0.088","storm_21"
"22","FC = 0.996, SFT = 0.088","2022-10-07 17:45:00","2022-10-09 04:00:00",18311.245152955,34.5,530.760729071158,"0.996","0.088","storm_22"
"23","FC = 0.996, SFT = 0.088","2022-10-09 22:30:00","2022-10-11 14:30:00",15852.6673986039,32.5,487.774381495503,"0.996","0.088","storm_23"
"24","FC = 0.996, SFT = 0.088","2022-10-24 20:30:00","2022-10-28 19:15:00",53761.2419722907,98.75,544.417640225729,"0.996","0.088","storm_24"
"25","FC = 0.996, SFT = 0.088","2022-11-04 22:15:00","2022-11-05 13:00:00",13691.7586446567,18.75,730.227127715024,"0.996","0.088","storm_25"
"26","FC = 0.996, SFT = 0.088","2022-11-06 20:00:00","2022-11-11 04:15:00",1020757.49880781,152.5,6693.49179546104,"0.996","0.088","storm_26"
"27","FC = 0.996, SFT = 0.088","2022-11-25 16:00:00","2022-11-27 19:00:00",37432.5797703127,58.75,637.150293962769,"0.996","0.088","storm_27"
"28","FC = 0.996, SFT = 0.088","2022-12-06 21:15:00","2022-12-29 00:30:00",579270.777970523,166.25,3484.33550658961,"0.996","0.088","storm_28"
"29","FC = 0.996, SFT = 0.088","2023-02-05 19:45:00","2023-02-07 08:30:00",15847.5504981371,37,428.312175625328,"0.996","0.088","storm_29"
"30","FC = 0.996, SFT = 0.088","2023-02-07 18:30:00","2023-02-08 09:00:00",6303.05977351994,18.5,340.705933703781,"0.996","0.088","storm_30"
"31","FC = 0.996, SFT = 0.088","2023-02-22 14:15:00","2023-02-23 06:00:00",43015.99960052,27.75,1550.12611173045,"0.996","0.088","storm_31"
"32","FC = 0.996, SFT = 0.088","2023-02-23 15:45:00","2023-02-25 17:15:00",100971.514590672,49.75,2029.57818272707,"0.996","0.088","storm_32"
"33","FC = 0.996, SFT = 0.088","2023-02-26 01:30:00","2023-02-26 15:15:00",20639.8447757533,14,1474.27462683952,"0.996","0.088","storm_33"
"34","FC = 0.996, SFT = 0.088","2023-03-11 12:30:00","2023-03-12 09:00:00",32435.5079299149,24.5,1323.89828285367,"0.996","0.088","storm_34"
"35","FC = 0.996, SFT = 0.088","2023-03-12 11:00:00","2023-03-16 11:45:00",156145.946211052,100.75,1549.8356944025,"0.996","0.088","storm_35"
"36","FC = 0.996, SFT = 0.088","2023-05-15 15:15:00","2023-05-16 07:15:00",5676.14528960616,16.25,349.301248591148,"0.996","0.088","storm_36"
"37","FC = 0.996, SFT = 0.088","2023-05-16 15:30:00","2023-05-17 06:00:00",5095.53969084374,14.75,345.460318023305,"0.996","0.088","storm_37"
"38","FC = 0.996, SFT = 0.088","2023-05-17 12:45:00","2023-05-17 23:15:00",3823.07862724917,10.75,355.635221139458,"0.996","0.088","storm_38"
"39","FC = 0.996, SFT = 0.088","2023-05-21 09:00:00","2023-05-24 06:30:00",46513.4437705519,71.75,648.270993317797,"0.996","0.088","storm_39"
"40","FC = 0.996, SFT = 0.088","2023-05-24 18:00:00","2023-05-29 09:00:00",60415.1867304328,118.75,508.759467203645,"0.996","0.088","storm_40"
"41","FC = 0.996, SFT = 0.088","2023-06-08 11:45:00","2023-06-10 21:45:00",62394.4921397904,128.75,484.617414677983,"0.996","0.088","storm_41"
"42","FC = 0.996, SFT = 0.088","2023-06-24 20:30:00","2023-06-30 13:30:00",442901.027559497,159.75,2772.46339630358,"0.996","0.088","storm_42"
"43","FC = 0.996, SFT = 0.088","2023-07-02 01:45:00","2023-07-08 22:45:00",644653.115563375,187.75,3433.57185386618,"0.996","0.088","storm_43"
"44","FC = 0.996, SFT = 0.088","2023-07-21 12:00:00","2023-07-25 14:00:00",681349.691285545,113.25,6016.3328148834,"0.996","0.088","storm_44"
"45","FC = 0.996, SFT = 0.088","2023-08-08 08:30:00","2023-08-15 23:00:00",718140.067043185,173.75,4133.18024197516,"0.996","0.088","storm_45"
"46","FC = 0.996, SFT = 0.088","2023-08-16 22:00:00","2023-08-18 04:30:00",45975.4168427963,38.25,1201.97168216461,"0.996","0.088","storm_46"
"47","FC = 0.996, SFT = 0.088","2023-08-19 00:45:00","2023-08-23 21:30:00",257506.429377816,132,1950.80628316528,"0.996","0.088","storm_47"
"48","FC = 0.996, SFT = 0.088","2023-08-25 19:30:00","2023-08-26 14:15:00",9795.06331021416,22.75,430.552233416007,"0.996","0.088","storm_48"
"49","FC = 0.996, SFT = 0.088","2023-09-05 21:15:00","2023-09-06 16:45:00",19639.3687810554,23.5,835.717820470441,"0.996","0.088","storm_49"
"50","FC = 0.996, SFT = 0.088","2023-09-23 11:15:00","2023-09-24 04:00:00",6149.27154394634,17,361.721855526255,"0.996","0.088","storm_50"
"51","FC = 0.996, SFT = 0.088","2023-09-24 06:30:00","2023-09-25 08:30:00",9220.54411476926,26.25,351.258823419781,"0.996","0.088","storm_51"
"52","FC = 0.996, SFT = 0.088","2023-09-28 20:00:00","2023-09-29 12:15:00",7193.70286073364,20.25,355.244585715242,"0.996","0.088","storm_52"
"53","FC = 0.996, SFT = 0.088","2023-09-29 16:15:00","2023-10-02 16:45:00",26364.5853035381,72.75,362.399797986778,"0.996","0.088","storm_53"
"54","FC = 0.996, SFT = 0.088","2023-10-07 18:00:00","2023-10-11 23:15:00",658569.09106153,116.5,5652.95357134361,"0.996","0.088","storm_54"
"55","FC = 0.996, SFT = 0.088","2023-10-13 19:00:00","2023-10-14 09:30:00",5995.98000896821,14.75,406.507119252082,"0.996","0.088","storm_55"
"56","FC = 0.996, SFT = 0.088","2023-10-16 05:45:00","2023-10-19 01:30:00",38714.8913762381,75.5,512.780018228319,"0.996","0.088","storm_56"
"57","FC = 0.996, SFT = 0.088","2023-11-09 20:45:00","2023-11-13 09:15:00",105831.066764252,96,1102.40694546096,"0.996","0.088","storm_57"
"58","FC = 0.996, SFT = 0.088","2023-11-14 01:15:00","2023-11-15",9725.13287964196,26.75,363.55636933241,"0.996","0.088","storm_58"
"59","FC = 0.996, SFT = 0.088","2023-11-18 02:15:00","2023-11-20 16:15:00",232187.780275801,137.25,1691.71424608962,"0.996","0.088","storm_59"
"60","FC = 0.98, SFT = 0.088","2021-12-02 17:45:00","2021-12-05 07:15:00",166291.374116179,69.25,2401.31948182208,"0.98","0.088","storm_1"
"61","FC = 0.98, SFT = 0.088","2021-12-10 02:00:00","2021-12-10 13:30:00",8586.352265101,11.75,730.753384263915,"0.98","0.088","storm_2"
"62","FC = 0.98, SFT = 0.088","2021-12-11 15:45:00","2021-12-15 10:15:00",201063.13154895,101.75,1976.05043291351,"0.98","0.088","storm_3"
"63","FC = 0.98, SFT = 0.088","2021-12-15 19:00:00","2021-12-20 00:45:00",19330.602191699,29,666.572489368932,"0.98","0.088","storm_4"
"64","FC = 0.98, SFT = 0.088","2021-12-22 21:15:00","2021-12-23 18:30:00",31384.6356489794,25.25,1242.95586728631,"0.98","0.088","storm_5"
"65","FC = 0.98, SFT = 0.088","2021-12-24 04:30:00","2021-12-24 15:30:00",12490.0084483851,11.25,1110.22297318978,"0.98","0.088","storm_6"
"66","FC = 0.98, SFT = 0.088","2022-01-01 18:15:00","2022-01-05 05:15:00",338598.079967001,118.25,2863.40871008035,"0.98","0.088","storm_7"
"67","FC = 0.98, SFT = 0.088","2022-01-06 00:45:00","2022-01-06 15:45:00",9550.28344776761,19,502.646497250927,"0.98","0.088","storm_8"
"68","FC = 0.98, SFT = 0.088","2022-01-07 19:15:00","2022-01-08 18:30:00",13581.3619896103,23,590.493999548272,"0.98","0.088","storm_9"
"69","FC = 0.98, SFT = 0.088","2022-01-10 01:45:00","2022-01-11 09:00:00",17859.6240875984,39,457.93907916919,"0.98","0.088","storm_10"
"70","FC = 0.98, SFT = 0.088","2022-01-15 14:00:00","2022-01-16 01:00:00",4907.50210583415,11.25,436.22240940748,"0.98","0.088","storm_11"
"71","FC = 0.98, SFT = 0.088","2022-01-16 14:00:00","2022-01-17 02:00:00",5851.51919431653,12.25,477.675036270737,"0.98","0.088","storm_12"
"72","FC = 0.98, SFT = 0.088","2022-01-17 13:30:00","2022-01-21 08:30:00",30802.5962861583,50,616.051925723167,"0.98","0.088","storm_13"
"73","FC = 0.98, SFT = 0.088","2022-01-21 14:00:00","2022-01-22 03:15:00",8447.40893230502,13.5,625.733994985557,"0.98","0.088","storm_14"
"74","FC = 0.98, SFT = 0.088","2022-01-22 14:00:00","2022-01-23 13:30:00",13354.3730939215,27.5,485.613567051689,"0.98","0.088","storm_15"
"75","FC = 0.98, SFT = 0.088","2022-01-25 14:00:00","2022-01-27 02:00:00",28087.5002655364,50.5,556.188124070029,"0.98","0.088","storm_16"
"76","FC = 0.98, SFT = 0.088","2022-01-27 12:30:00","2022-01-28 10:15:00",12188.7956392051,25.75,473.35128695942,"0.98","0.088","storm_17"
"77","FC = 0.98, SFT = 0.088","2022-02-03 10:15:00","2022-02-06 02:45:00",81132.1151824408,72.25,1122.935850276,"0.98","0.088","storm_18"
"78","FC = 0.98, SFT = 0.088","2022-02-06 12:15:00","2022-02-07 06:30:00",8548.901021006,22.25,384.220270607011,"0.98","0.088","storm_19"
"79","FC = 0.98, SFT = 0.088","2022-02-11 17:30:00","2022-02-17 05:30:00",471550.279965103,143.5,3286.06466874636,"0.98","0.088","storm_20"
"80","FC = 0.98, SFT = 0.088","2022-02-17 14:15:00","2022-02-19 20:00:00",536181.535626248,54,9929.28769678237,"0.98","0.088","storm_21"
"81","FC = 0.98, SFT = 0.088","2022-02-19 23:30:00","2022-03-04 23:30:00",369155.218501532,84.25,4381.66431455825,"0.98","0.088","storm_22"
"82","FC = 0.98, SFT = 0.088","2022-03-06 15:15:00","2022-03-11 04:45:00",220782.002472335,53.75,4107.57213902018,"0.98","0.088","storm_23"
"83","FC = 0.98, SFT = 0.088","2022-03-12 00:15:00","2022-03-12 17:15:00",12602.2117317588,21,600.105320559944,"0.98","0.088","storm_24"
"84","FC = 0.98, SFT = 0.088","2022-03-12 19:00:00","2022-03-14 12:45:00",63560.7874350101,49.5,1284.05631181839,"0.98","0.088","storm_25"
"85","FC = 0.98, SFT = 0.088","2022-03-19 15:30:00","2022-03-19 16:30:00",6842.15693225655,16,427.634808266034,"0.98","0.088","storm_26"
"86","FC = 0.98, SFT = 0.088","2022-03-20 06:30:00","2022-03-20 07:15:00",6099.2138022687,13,469.170292482208,"0.98","0.088","storm_27"
"87","FC = 0.98, SFT = 0.088","2022-03-20 21:15:00","2022-03-20 22:00:00",4317.2939683592,12,359.774497363267,"0.98","0.088","storm_28"
"88","FC = 0.98, SFT = 0.088","2022-03-24 06:45:00","2022-03-30 09:00:00",387383.282596529,125.25,3092.88049977269,"0.98","0.088","storm_29"
"89","FC = 0.98, SFT = 0.088","2022-03-30 11:15:00","2022-04-05 19:30:00",323522.545791901,185,1748.77051779406,"0.98","0.088","storm_30"
"90","FC = 0.98, SFT = 0.088","2022-04-05 20:15:00","2022-04-06 08:00:00",6165.59981727405,15.75,391.466655065019,"0.98","0.088","storm_31"
"91","FC = 0.98, SFT = 0.088","2022-04-07 18:30:00","2022-04-13 13:00:00",243607.258343705,70.25,3467.71897998157,"0.98","0.088","storm_32"
"92","FC = 0.98, SFT = 0.088","2022-04-13 20:15:00","2022-04-18 14:15:00",256076.548150953,129.25,1981.24988898223,"0.98","0.088","storm_33"
"93","FC = 0.98, SFT = 0.088","2022-04-19 08:30:00","2022-04-25 19:45:00",634568.312257776,178,3564.99051830211,"0.98","0.088","storm_34"
"94","FC = 0.98, SFT = 0.088","2022-04-26 11:30:00","2022-04-27 05:30:00",23995.9523255736,29.5,813.42211273131,"0.98","0.088","storm_35"
"95","FC = 0.98, SFT = 0.088","2022-04-27 18:30:00","2022-05-01 08:45:00",152870.866633719,101.5,1506.11691264748,"0.98","0.088","storm_36"
"96","FC = 0.98, SFT = 0.088","2022-05-04 07:30:00","2022-05-08 10:45:00",131217.940006719,114.5,1146.00820966567,"0.98","0.088","storm_37"
"97","FC = 0.98, SFT = 0.088","2022-05-15 02:00:00","2022-05-16 16:15:00",89197.2225540456,42.25,2111.17686518451,"0.98","0.088","storm_38"
"98","FC = 0.98, SFT = 0.088","2022-05-17 00:15:00","2022-05-19 11:30:00",246183.867109873,63.25,3892.23505312052,"0.98","0.088","storm_39"
"99","FC = 0.98, SFT = 0.088","2022-05-19 17:45:00","2022-05-21 15:45:00",152728.667143701,53.75,2841.46357476654,"0.98","0.088","storm_40"
"100","FC = 0.98, SFT = 0.088","2022-05-21 22:30:00","2022-05-25 18:30:00",95669.2420519554,112.75,848.507690039516,"0.98","0.088","storm_41"
"101","FC = 0.98, SFT = 0.088","2022-05-27 20:15:00","2022-06-01 00:45:00",532079.198344401,115.75,4596.79652997323,"0.98","0.088","storm_42"
"102","FC = 0.98, SFT = 0.088","2022-06-02 03:30:00","2022-08-01 22:15:00",334812.261468154,174.75,1915.9499940953,"0.98","0.088","storm_43"
"103","FC = 0.98, SFT = 0.088","2022-08-16 20:15:00","2022-08-17 20:30:00",24792.2282535265,27.5,901.535572855509,"0.98","0.088","storm_44"
"104","FC = 0.98, SFT = 0.088","2022-08-23 18:15:00","2022-08-24 19:45:00",16111.9919835966,25.75,625.708426547443,"0.98","0.088","storm_45"
"105","FC = 0.98, SFT = 0.088","2022-08-31 01:00:00","2022-09-06 19:00:00",87583.0175394928,19.25,4549.76714490871,"0.98","0.088","storm_46"
"106","FC = 0.98, SFT = 0.088","2022-09-14 00:30:00","2022-09-16 03:00:00",46309.7430688084,58.25,795.017048391561,"0.98","0.088","storm_47"
"107","FC = 0.98, SFT = 0.088","2022-09-18 23:45:00","2022-09-22 02:30:00",195390.601038308,82.5,2368.37092167646,"0.98","0.088","storm_48"
"108","FC = 0.98, SFT = 0.088","2022-09-22 07:15:00","2022-09-25 05:15:00",384456.637543988,77.75,4944.77990410274,"0.98","0.088","storm_49"
"109","FC = 0.98, SFT = 0.088","2022-09-26 12:30:00","2022-09-27 11:30:00",13544.7649856949,27,501.657962433143,"0.98","0.088","storm_50"
"110","FC = 0.98, SFT = 0.088","2022-09-28 15:15:00","2022-09-30 14:30:00",40173.2476030821,51.5,780.063060254022,"0.98","0.088","storm_51"
"111","FC = 0.98, SFT = 0.088","2022-10-07 18:30:00","2022-10-08 15:15:00",9187.03039990594,21,437.477638090759,"0.98","0.088","storm_52"
"112","FC = 0.98, SFT = 0.088","2022-10-14 01:45:00","2022-10-17 11:15:00",473815.34898331,93,5094.78869874527,"0.98","0.088","storm_53"
"113","FC = 0.98, SFT = 0.088","2022-10-18 14:15:00","2022-10-20 08:45:00",21331.3287258751,46.5,458.738252169357,"0.98","0.088","storm_54"
"114","FC = 0.98, SFT = 0.088","2022-10-24 20:45:00","2022-10-25 18:30:00",8631.81557281225,22,392.355253309648,"0.98","0.088","storm_55"
"115","FC = 0.98, SFT = 0.088","2022-10-27 11:00:00","2022-10-28 09:00:00",8330.13639889333,22.25,374.388152759251,"0.98","0.088","storm_56"
"116","FC = 0.98, SFT = 0.088","2022-11-04 22:45:00","2022-11-05 10:45:00",10783.3607493265,16,673.960046832909,"0.98","0.088","storm_57"
"117","FC = 0.98, SFT = 0.088","2022-11-06 20:15:00","2022-11-11 03:30:00",716553.611643488,149.75,4784.99907608339,"0.98","0.088","storm_58"
"118","FC = 0.98, SFT = 0.088","2022-11-12 01:15:00","2022-11-15 18:30:00",625831.911126081,100.75,6211.73112780229,"0.98","0.088","storm_59"
"119","FC = 0.98, SFT = 0.088","2022-11-16 17:15:00","2022-11-21 09:45:00",138936.695972827,127.75,1087.56709176381,"0.98","0.088","storm_60"
"120","FC = 0.98, SFT = 0.088","2022-11-21 12:15:00","2022-11-21 18:30:00",5417.80748749148,10.25,528.56658414551,"0.98","0.088","storm_61"
"121","FC = 0.98, SFT = 0.088","2022-11-25 16:30:00","2022-11-26 16:00:00",15759.3937906835,27.5,573.068865115762,"0.98","0.088","storm_62"
"122","FC = 0.98, SFT = 0.088","2022-11-28 02:30:00","2022-11-30 03:00:00",77286.1289295333,56.25,1373.97562541393,"0.98","0.088","storm_63"
"123","FC = 0.98, SFT = 0.088","2022-11-30 20:45:00","2022-12-02 12:15:00",96594.4230092233,47.25,2044.32641289361,"0.98","0.088","storm_64"
"124","FC = 0.98, SFT = 0.088","2022-12-03 17:30:00","2022-12-05 20:15:00",44156.7914983274,58.5,754.816948689357,"0.98","0.088","storm_65"
"125","FC = 0.98, SFT = 0.088","2022-12-06 21:30:00","2022-12-28 03:00:00",399032.760616261,144.5,2761.47239180803,"0.98","0.088","storm_66"
"126","FC = 0.98, SFT = 0.088","2022-12-29 23:15:00","2023-01-04 05:30:00",469652.039961048,141.5,3319.09568877066,"0.98","0.088","storm_67"
"127","FC = 0.98, SFT = 0.088","2023-01-05 02:15:00","2023-01-09 07:15:00",604391.058200009,112.5,5372.36496177785,"0.98","0.088","storm_68"
"128","FC = 0.98, SFT = 0.088","2023-01-09 09:15:00","2023-01-11 01:15:00",73832.9294198502,60.25,1225.44281194772,"0.98","0.088","storm_69"
"129","FC = 0.98, SFT = 0.088","2023-01-13 03:00:00","2023-01-17 14:30:00",281853.489989343,107.75,2615.80965187326,"0.98","0.088","storm_70"
"130","FC = 0.98, SFT = 0.088","2023-01-20 16:45:00","2023-01-21 04:15:00",4299.19679991648,11.75,365.889089354594,"0.98","0.088","storm_71"
"131","FC = 0.98, SFT = 0.088","2023-01-23 11:30:00","2023-01-25 13:00:00",43274.7592978293,49.75,869.844407996569,"0.98","0.088","storm_72"
"132","FC = 0.98, SFT = 0.088","2023-01-25 15:00:00","2023-01-28 02:45:00",71188.0639198418,67.5,1054.63798399766,"0.98","0.088","storm_73"
"133","FC = 0.98, SFT = 0.088","2023-01-28 22:00:00","2023-01-29 09:45:00",5555.00733983398,15.75,352.698878719618,"0.98","0.088","storm_74"
"134","FC = 0.98, SFT = 0.088","2023-01-29 16:00:00","2023-01-30 02:00:00",5859.70540077221,10.25,571.678575685094,"0.98","0.088","storm_75"
"135","FC = 0.98, SFT = 0.088","2023-01-30 05:30:00","2023-01-30 16:45:00",11267.8680371913,11.5,979.814611929682,"0.98","0.088","storm_76"
"136","FC = 0.98, SFT = 0.088","2023-01-31 05:15:00","2023-01-31 18:15:00",11892.2708018673,13.25,897.52987183904,"0.98","0.088","storm_77"
"137","FC = 0.98, SFT = 0.088","2023-02-01","2023-02-01 18:45:00",74841.2437659604,19,3939.01282978739,"0.98","0.088","storm_78"
"138","FC = 0.98, SFT = 0.088","2023-02-03 08:00:00","2023-02-03 20:00:00",22231.2462062344,12.25,1814.7956086722,"0.98","0.088","storm_79"
"139","FC = 0.98, SFT = 0.088","2023-02-03 23:00:00","2023-02-04 23:30:00",36442.2658464885,24.75,1472.4147816763,"0.98","0.088","storm_80"
"140","FC = 0.98, SFT = 0.088","2023-02-09 22:15:00","2023-02-14 14:30:00",733247.235937756,120,6110.39363281464,"0.98","0.088","storm_81"
"141","FC = 0.98, SFT = 0.088","2023-02-14 19:30:00","2023-02-15 10:45:00",31826.2621351365,19.25,1653.31231870839,"0.98","0.088","storm_82"
"142","FC = 0.98, SFT = 0.088","2023-02-15 18:15:00","2023-02-19 09:15:00",282078.070716368,94.75,2977.07726349729,"0.98","0.088","storm_83"
"143","FC = 0.98, SFT = 0.088","2023-02-19 20:00:00","2023-02-21 10:45:00",85368.8182935738,39,2188.94405880958,"0.98","0.088","storm_84"
"144","FC = 0.98, SFT = 0.088","2023-02-21 13:00:00","2023-02-22 13:30:00",50328.1302134865,24.75,2033.45980660552,"0.98","0.088","storm_85"
