event_ID,study year,event_start,event_end
1,1,12/2/21 11:30,12/6/21 3:00
2,1,12/6/21 3:00,12/9/21 19:45
3,1,12/11/21 7:30,12/15/21 21:00
4,1,2/17/22 6:15,3/6/22 9:00
5,1,3/6/22 9:00,3/11/22 14:30
6,1,3/16/22 13:00,3/24/22 1:00
7,1,3/24/22 1:00,3/31/22 11:00
8,1,3/31/22 11:00,4/6/22 13:15
9,1,4/6/22 13:15,4/11/22 13:00
10,1,4/11/22 13:00,4/18/22 14:15
11,1,4/18/22 14:15,4/21/22 12:15
12,1,4/21/22 12:15,4/25/22 13:15
13,1,4/25/22 13:15,5/1/22 11:30
14,1,5/1/22 11:30,5/14/22 17:15
15,1,5/14/22 17:15,5/21/22 16:30
16,1,5/21/22 16:30,5/27/22 0:15
1,2,12/3/22 9:30,12/6/22 11:30
2,2,12/6/22 11:30,12/12/22 20:15
3,2,12/23/22 5:15,12/29/22 18:00
4,2,12/29/22 18:00,1/4/23 3:30
5,2,1/4/23 3:30,1/8/23 1:45
6,2,1/8/23 1:45,1/11/23 2:45
7,2,1/12/23 20:00,1/15/23 19:45
8,2,2/9/23 15:45,2/15/23 11:30
9,2,2/15/23 11:30,2/17/23 17:15
10,2,2/17/23 17:15,2/21/23 17:15
11,2,3/17/23 13:45,3/22/23 12:00
12,2,3/22/23 12:00,3/27/23 11:15
13,2,4/1/23 7:15,4/4/23 12:00
14,2,4/4/23 12:00,4/9/23 12:00
15,2,4/9/23 12:00,4/21/23 16:45
16,2,4/21/23 16:45,4/30/23 13:45
17,2,4/30/23 13:45,5/6/23 10:15